"id","dams","off_network_dams","miles","barriers"
"10.2.4",1757,84,14.9350004196167,0
"13.1.1",23,13,5.255000114440918,0
"15.4.1",122,36,5.060999870300293,0
"6.2.14",21,21,0.0,0
"8.2.3",12,2,140.76800537109375,0
"8.2.4",178,42,20.474000930786133,0
"8.3.1",1186,16,6.432000160217285,10
"8.3.2",3031,338,20.520999908447266,143
"8.3.3",3431,145,20.81599998474121,133
"8.3.4",28161,8291,4.533999919891357,838
"8.3.5",37144,10651,5.435999870300293,2970
"8.3.6",3284,839,3.5969998836517334,79
"8.3.7",3454,347,24.933000564575195,636
"8.3.8",1860,93,18.48699951171875,1
"8.4.1",4036,463,12.401000022888184,2057
"8.4.2",1068,57,13.140000343322754,208
"8.4.3",378,28,49.64699935913086,470
"8.4.4",2471,183,8.331999778747559,1859
"8.4.5",7267,302,6.5370001792907715,9559
"8.4.6",736,28,16.472999572753906,2279
"8.4.7",3086,126,5.909999847412109,436
"8.4.8",965,81,9.956999778747559,330
"8.4.9",2754,656,5.23799991607666,490
"8.5.1",610,114,7.8480000495910645,299
"8.5.2",517,277,75.54299926757812,3
"8.5.3",1809,1021,8.770999908447266,674
"9.2.3",3996,1204,4.7789998054504395,6
"9.2.4",7445,1331,4.133999824523926,343
"9.4.1",487,35,8.090999603271484,0
"9.4.2",8553,827,6.59499979019165,412
"9.4.3",2895,98,6.316999912261963,0
"9.4.4",892,266,13.17300033569336,0
"9.4.5",6924,248,7.453999996185303,167
"9.4.6",2527,12,6.4770002365112305,8
"9.4.7",1756,84,8.690999984741211,0
"9.5.1",356,126,13.97700023651123,0
"9.6.1",1021,50,36.35300064086914,0
