"id","dams","connectedmiles"
"24a",54,42.05815856112167
"24b",18,12.676112737894679
"24c",19,12.843893355556897
"24d",1,40.52170181274414
"24e",10,4.346450220793486
"24f",8,7.576509588863701
"25b",3,6.730090141296388
"25e",30,37.99128631095994
"25i",84,15.285171645622926
"25k",4,0.4203540086746216
"26a",201,26.219424498518812
"26b",98,23.28966284989057
"26c",202,12.162496240787139
"26d",40,7.113196887075901
"26f",3,30.412293036778767
"27d",300,37.155643676233055
"27h",259,9.915802747458212
"27i",272,11.444749587739352
"27j",230,14.586460887082886
"27k",31,76.8587485640668
"27l",24,32.63000733118791
"27m",43,2.6720643725711852
"27n",38,4.4639189000556465
"27o",833,4.253464179838593
"27q",855,5.986219154771918
"28a",62,2.73090323805809
"29a",967,4.573576231628937
"29b",178,51.91334278736942
"29c",841,8.934214076395648
"29d",221,16.366112766416183
"29e",282,11.757108933168153
"29f",25,136.81676925312388
"29g",100,3.5231742572466858
"29h",365,2.110272604657118
"29i",17,4.329698204994201
"30a",69,34.337324860698445
"30b",14,50.58112168312073
"30c",239,12.528438286822386
"30d",37,16.380960510008865
"31a",71,15.888924475273063
"31b",3,2.096304953098297
"31c",556,11.053430960635758
"31d",14,163.2398226122771
"32a",1320,6.274464839450062
"32b",80,28.130735419858997
"32c",8,0.3647879958152771
"33a",432,12.117822129269086
"33b",553,10.8763039116466
"33c",21,1.09571071267128
"33d",28,0.8940459583398133
"33e",11,1.3215486919507384
"33f",38,209.4740664006344
"34a",142,14.287891099210448
"34b",23,7.5178937874152325
"34c",52,42.43514575442168
"34d",5,37.688215255737305
"34e",18,""
"34f",39,5.509559650366244
"34g",11,26.44304388974394
"34h",7,6.426729917526245
"34i",7,4.178460121154785
"34j",1,""
"35a",855,13.133477228802962
"35b",44,575.0113085086114
"35c",104,41.72588687705963
"35d",140,26.144506356587538
"35e",337,10.573415160441847
"35f",66,89.38489819149817
"35g",31,344.7947231920407
"35h",22,4.170996725559235
"36a",20,76.95501449257135
"36b",26,64.09636936086463
"36c",51,4.191112679905843
"36d",120,18.94540164735529
"36e",15,40.44130017640642
"36f",21,5.639576827937907
"37a",41,6.570765764045063
"37b",13,432.5309230796993
"37c",89,15.767360004223884
"37d",139,31.69298705093189
"37e",234,4.084024117593943
"38a",3,1.8108199834823608
"38b",62,73.02592556568561
"39a",135,35.05556620735204
"39b",52,29.75162493022667
"39c",35,328.87473956278217
"39d",372,4.444362914014651
"39e",186,43.41539518052855
"39f",111,12.952700768149672
"39g",243,6.557565803046028
"39h",53,32.874733739753424
"39i",286,1.3778114780608375
"39j",79,2.4970515861438254
"39k",21,1.0684531442821026
"40a",1678,2.6368493146359206
"40b",213,27.478356904268434
"40c",339,7.78526718642471
"40d",138,14.106940081730297
"40e",428,1.5280500944431752
"45a",7057,3.745245638828918
"45b",14750,3.512105774380035
"45c",846,13.65637140176346
"45d",468,5.701359890580621
"45e",1571,10.476178214645765
"45f",940,9.081082066134407
"45g",279,10.486473487824547
"45h",571,0.6734045749681672
"45i",47,2.432580529044991
"47d",7,44.174017906188965
"47e",27,0.4164609909057617
"47f",435,7.164454555567993
"47m",11,0.3293269872665405
"63b",46,5.3319486311078075
"63c",1,""
"63e",110,6.866269778347083
"63g",2,0.7406280040740967
"63h",314,4.825537691437634
"63n",49,17.50809809250327
"64a",35,15.976835042478577
"64b",6,18.007380187511444
"64c",190,4.881071311759698
"65a",1506,1.582778319333798
"65b",1053,12.885051412558507
"65c",3041,1.9576249722351062
"65d",2510,3.6171623620461975
"65e",725,12.431601489029362
"65f",3257,3.238966875775544
"65g",7528,1.4443451543173043
"65h",1891,1.8757031759651488
"65i",2472,2.7074972537008386
"65j",27,29.241772771454773
"65k",1242,1.6173097864516321
"65l",2327,3.4985766968757157
"65m",938,7.077840997532231
"65n",3,1.707434967160225
"65o",208,1.7964025634985843
"65p",864,68.05301530183641
"65q",53,2.012778693980251
"65r",46,2.231475067735162
"66a",23,4.830267587959922
"66b",17,3.1735266844431558
"66c",40,51.70432340760123
"66d",664,3.861567958194414
"66e",57,2.4464194112130113
"66f",5,23.23163491487503
"66g",621,8.500920298271195
"66i",3,""
"66j",270,14.20473773756859
"66k",7,1.6692867974440257
"66l",66,2.412903092893248
"66m",2,0.9981310367584229
"67a",40,38.25954587925826
"67b",48,21.477636152830645
"67c",12,16.077838805317878
"67d",16,8.334695744514466
