"L4_KEY","NA_L3CODE","NA_L2CODE","NA_L1CODE","dams","connectedmiles"
"24a","10.2.4","10.2","10",54,42.05815892458333
"24b","10.2.4","10.2","10",18,12.676112716574998
"24c","10.2.4","10.2","10",19,12.843893407142858
"24d","10.2.4","10.2","10",1,40.521702000000005
"24e","10.2.4","10.2","10",10,4.3464501625
"24f","10.2.4","10.2","10",8,7.576509550000001
"25b","9.4.1","9.4","9",3,6.7300901
"25e","9.4.1","9.4","9",30,37.991286519545454
"25i","9.4.1","9.4","9",84,15.285171592116665
"25k","9.4.1","9.4","9",4,0.42035400666666667
"26a","9.4.3","9.4","9",201,26.219424119415216
"26b","9.4.3","9.4","9",98,23.289662917447384
"26c","9.4.3","9.4","9",202,12.16249621531096
"26d","9.4.3","9.4","9",40,7.113196884192306
"26f","9.4.3","9.4","9",3,30.412293033333338
"27d","9.4.2","9.4","9",300,37.15564399428592
"27h","9.4.2","9.4","9",259,9.915802741397565
"27i","9.4.2","9.4","9",272,11.444749547170371
"27j","9.4.2","9.4","9",230,14.58646079995855
"27k","9.4.2","9.4","9",31,76.85874914080767
"27l","9.4.2","9.4","9",24,32.63000701153846
"27m","9.4.2","9.4","9",43,2.6720643561
"27n","9.4.2","9.4","9",38,4.463918890823529
"27o","9.4.2","9.4","9",833,4.253464185632725
"27q","9.4.2","9.4","9",855,5.986219095107628
"28a","9.4.4","9.4","9",62,2.730903263333333
"29a","9.4.5","9.4","9",967,4.573576219433203
"29b","9.4.5","9.4","9",178,51.91334227915445
"29c","9.4.5","9.4","9",841,8.934214088040981
"29d","9.4.5","9.4","9",221,16.366112766183218
"29e","9.4.5","9.4","9",282,11.757108936938884
"29f","9.4.5","9.4","9",25,136.81677324272727
"29g","9.4.5","9.4","9",100,3.5231742584918035
"29h","9.4.5","9.4","9",365,2.1102726021633997
"29i","9.4.5","9.4","9",17,4.3296982
"30a","9.4.6","9.4","9",69,34.33732522345173
"30b","9.4.6","9.4","9",14,50.58112166666666
"30c","9.4.6","9.4","9",239,12.528438237300522
"30d","9.4.6","9.4","9",37,16.380960449722224
"31a","9.6.1","9.6","9",71,15.88892450049216
"31b","9.6.1","9.6","9",3,2.09630495
"31c","9.6.1","9.6","9",556,11.053430942397695
"31d","9.6.1","9.6","9",14,163.2398224
"32a","9.4.7","9.4","9",1320,6.274464853499475
"32b","9.4.7","9.4","9",80,28.13073542971464
"32c","9.4.7","9.4","9",8,0.364788
"33a","8.3.8","8.3","8",432,12.117822099331317
"33b","8.3.8","8.3","8",553,10.87630393645445
"33c","8.3.8","8.3","8",21,1.095710711
"33d","8.3.8","8.3","8",28,0.8940459566666666
"33e","8.3.8","8.3","8",11,1.3215486959999998
