"id","dams","connectedmiles"
"0207000105",4,4.742359936237335
"0207000307",1,0.3684009909629822
"0207000404",14,3.5218743028549047
"0207000409",4,5.633750041325887
"0207000501",4,6.068380117416382
"0207000502",1,""
"0207000503",1,185.77099609375
"0207000504",7,3.379065683909825
"0207000505",3,15.351106802622477
"0207000506",4,80.98553371429443
"0207000507",18,3.17094698920846
"0207000508",2,95.416508436203
"0207000509",6,30.84607619047165
"0207000510",2,0.19362899661064148
"0207000601",6,3.9215700626373287
"0207000603",2,101.81241786479949
"0207000604",3,3.9145966370900473
"0207000605",4,28.425905466079712
"0207000606",4,2.144477148540318
"0207000607",5,53.62053620070219
"0207000701",11,72.79461969435215
"0207000702",1,3.5706000328063965
"0207000802",1,1.1502900123596191
"0207000803",5,4.454908642335795
"0207000804",1,0.2032500058412552
"0207000805",10,0.6183618836932712
"0207000806",11,1.6269125071438877
"0207000807",11,1.4340000924738971
"0207000809",6,6.213927447795867
"0207000810",12,2.293689199537039
"0207001003",5,3.5004974976181984
"0207001004",8,10.253033101558685
"0207001005",14,6.997971343915976
"0207001006",14,4.004619853427777
"0207001007",7,3.943093091249466
"0207001008",10,44.068456096574664
"0207001101",8,9.078547795613607
"0207001102",10,17.54362908218588
"0207001103",3,0.3668999969959259
"0207001106",8,5.377850038664682
"0207001108",11,4.211792956699025
"0208010201",3,2.486743370691935
"0208010202",6,1.4283002834767102
"0208010203",4,2.744092717766762
"0208010204",4,3.170655071735382
"0208010301",10,7.399887787444251
"0208010302",6,3.0761228129267693
"0208010303",5,""
"0208010304",5,25.925849318504333
"0208010305",13,2.3928622534641852
"0208010306",7,0.7960914768278599
"0208010307",4,0.878569021821022
"0208010308",11,28.83875789040966
"0208010309",6,1.5264694154262544
"0208010310",5,66.52685259779295
"0208010311",8,2.351383723318577
"0208010401",7,9.12234101976667
"0208010402",14,4.030709733339873
"0208010403",9,7.362546294927597
"0208010404",15,5.5874793350696565
"0208010405",5,4.279316335916519
"0208010406",10,5.718631711271074
"0208010407",4,7.541855216026306
"0208010501",12,10.454318316145377
"0208010502",12,3.469252281568267
"0208010503",9,7.301878569381578
"0208010504",12,6.487229867414995
"0208010505",12,9.566443264484406
"0208010506",13,4.299328652520974
"0208010601",17,7.876524505515893
"0208010602",10,24.176610263685387
"0208010603",15,15.470562833050886
"0208010604",4,3.761350244283676
"0208010605",4,1.7038102261722088
"0208010606",2,355.2409973144531
"0208010607",8,4.567180101360593
"0208010608",5,1.0474069833755493
