"HUC4","HUC2","dams","connectedmiles"
"0207","02",221,12.273573412674168
"0208","02",827,9.460083119139322
"0301","03",747,13.176907476368447
"0302","03",617,6.636609522247647
"0303","03",927,5.212946417807487
"0304","03",1323,7.8106426521827315
"0305","03",1992,5.015540202342246
"0306","03",1456,5.126721736117529
"0307","03",2043,4.239677496007921
"0308","03",66,11.928912307408943
"0309","03",75,17.403927871226536
"0310","03",125,6.242652536241682
"0311","03",632,2.8623140199177226
"0312","03",347,2.9788314825589626
"0313","03",7139,1.5167888683866948
"0314","03",1114,4.051057835850127
"0315","03",3046,6.132637679515235
"0316","03",1513,14.44953291102013
"0317","03",371,3.498550296880837
"0318","03",243,11.237474808560943
"0505","05",61,51.42873745278656
"0507","05",39,41.90432196902565
"0509","05",28,147.8268456945428
"0510","05",156,27.527837562756442
"0511","05",164,42.334281296027
"0513","05",403,28.52880433733223
"0514","05",172,28.131025601678314
"0601","06",589,18.599114243971364
"0602","06",177,19.763434012883675
"0603","06",260,21.451485597520307
"0604","06",239,8.81181643990552
"0711","07",359,23.51421437089803
"0714","07",397,5.05176334253018
"0801","08",457,2.8998391780430444
"0802","08",228,45.13925536938299
"0803","08",534,16.311043853433855
"0804","08",217,53.683324514403495
"0805","08",5,117.41282647999999
"0806","08",298,2.494957069518039
"0807","08",59,6.8610307724968305
"0808","08",24,23.516800182875002
"0809","08",14,1.2320517507142856
"1024","10",61,13.01156191559049
"1028","10",365,3.689185691706904
"1029","10",232,20.351675153086678
"1030","10",607,3.8211826175318926
"1101","11",262,50.45492442957138
"1104","11",26,6.80944876628077
"1105","11",341,4.134641247854456
"1106","11",199,32.40384542529174
"1107","11",127,26.73252676225602
"1109","11",347,6.50953005014536
"1110","11",378,14.600010891971966
"1111","11",452,35.79587038966584
"1112","11",247,13.469604793870024
"1113","11",1186,8.272091147320845
"1114","11",601,30.40724188160026
"1201","12",195,16.5582043937041
"1202","12",181,30.089604489653055
"1203","12",888,10.264840894515235
"1204","12",110,13.149570225045455
"1205","12",73,14.902575421917811
"1206","12",358,20.79559005341893
"1207","12",363,14.42695310903499
"1208","12",47,45.91689560938298
"1209","12",522,12.677336252130061
"1210","12",296,14.763235377066216
"1211","12",372,15.0390505788445
"1303","13",3,2.7233907333333334
"1304","13",65,7.136989069061538
"1305","13",6,7.184441716649999
"1307","13",9,116.39287611111111
"1308","13",137,12.102339681267154
"1309","13",15,18.902901848006664
