"id","dams","connectedmiles","bin"
"020700",262,12.273573334941986,4
"020801",365,8.14012108098429,6
"020802",602,10.259749408249034,7
"030101",904,14.706110072403423,7
"030102",307,10.521808410836396,5
"030201",291,9.747212575519548,5
"030202",725,5.523781630136477,7
"030203",14,3.514496604601542,0
"030300",1464,5.21294641382552,8
"030401",1259,8.895390971545178,8
"030402",883,6.859756885327858,7
"030501",2468,6.149692698262232,8
"030502",736,2.3717131848860418,7
"030601",1230,6.172206399317011,8
"030602",588,3.2504680674545905,7
"030701",4157,4.433593665297547,8
"030702",208,1.8610560575629775,4
"030801",76,12.24748714707539,2
"030802",11,1.734522059559822,0
"030901",81,18.649322238233353,2
"030902",113,14.201485147764851,3
"031001",179,11.860664470701956,3
"031002",270,5.108246269080644,4
"031101",41,1.9219812725271497,1
"031102",724,2.9174424115334108,7
"031200",598,2.9788314843911943,7
"031300",25959,1.516788865661713,8
"031401",2997,1.1170741308582852,8
"031402",419,7.928792870053143,6
"031403",240,13.399326373957962,4
"031501",7949,4.3983152298458785,8
"031502",1117,13.506498455857946,8
"031601",3351,10.888845346888425,8
"031602",233,48.30079047776922,4
"031700",761,3.4985502819857635,7
"031800",572,11.237474858587648,6
"050500",87,51.428737647475515,2
"050702",57,41.90432205932582,2
"050901",15,442.840526847953,0
"050902",51,8.083524594026752,1
"051001",90,42.945063238597605,2
"051002",232,21.84780683755444,4
"051100",251,42.334281053842346,4
"051301",276,34.88611783737092,5
"051302",288,23.18749985533509,5
"051401",211,13.776113011537891,4
"051402",98,55.624332832456645,2
"060101",582,16.873529687881593,7
"060102",365,21.10840184790935,6
"060200",292,19.763433957118266,5
"060300",318,21.45148567230499,5
"060400",328,8.811816374775598,5
"071000",3,"",0
"071100",942,23.514214286162485,8
"071401",793,5.051763342458331,7
"080101",11,0.4208810765296221,0
"080102",721,2.9272612789241648,7
"080201",2,10.07867381349206,0
"080202",192,5.909187578224116,4
"080203",118,93.60308799481649,3
"080204",46,52.22590613987995,1
"080301",1,"",0
"080302",1052,16.311043911231085,8
"080401",84,21.104376940515877,2
"080402",181,78.68977948666355,4
"080403",36,7.564680086571672,1
"080500",14,117.41282653808594,0
"080601",30,1.391613952505092,1
"080602",601,2.5412511819877626,7
"080702",115,6.592995093674259,3
"080703",1,22.407100677490234,0
"080801",13,46.228891184193344,0
"080802",40,12.160755061195232,1
"080902",22,1.2320517732628755,1
"102400",272,13.011561837164708,4
"102801",985,3.132438300903519,8
"102802",170,6.463795697667682,3
"102901",407,25.032145134476366,6
"102902",93,3.314764229824759,2
"103001",907,4.564532926196808,7
"103002",347,1.0667528201275327,5
"110100",358,50.45492485502961,5
"110400",30,6.8094487496771485,1
"110500",471,4.134641264532345,6
"110600",298,32.40384513143293,5
"110701",248,30.57188179343575,4
"110702",134,22.832228858978304,3
"110901",127,11.627824082235364,3
"110902",492,5.074141325506406,6
"111001",35,116.25831564989957,1
"111002",23,117.9054427407682,1
"111003",545,4.494930092053394,6
"111101",334,29.851003365759357,5
"111102",248,42.12077427486417,4
"111201",86,10.661977077755383,2
"111202",57,7.608376240639319,2
"111203",178,16.350176149771894,3
"111301",80,4.8685171007353345,2
"111302",527,11.188108258908645,6
"111303",1582,7.6847065122468,8
"111401",607,22.44747594679874,7
"111402",163,54.18245053533915,3
"111403",352,34.8290067459378,5
"120100",364,16.558204420564625,6
"120200",313,30.089604691188406,5
"120301",1463,8.748398460258999,8
"120302",346,15.317183101494802,5
"120401",168,17.38666561924112,3
"120402",65,2.821650356781902,2
"120500",91,14.902575382631118,2
"120601",158,23.545862799632214,3
"120602",393,19.623162887208498,6
"120701",371,12.396129554331429,6
"120702",396,15.777730228111393,6
"120800",63,45.91689560477414,2
"120901",471,10.68419507937628,6
"120902",121,25.167587089458603,3
"120903",120,3.28925495815547,3
"120904",26,51.081031314989865,1
"121001",22,108.08305134251714,1
"121002",205,20.12719376936974,4
"121003",171,4.753793652166173,3
"121004",36,9.040204614400864,1
"121101",480,15.946805067625837,6
"121102",102,9.452869242618013,3
"130301",8,2.723390736306707,0
"130401",52,8.178134522361992,1
"130402",25,7.160425612806446,1
"130403",23,6.032234762025916,1
"130500",10,7.18444167651857,0
"130700",13,116.3928751250108,0
"130800",190,12.10233967239547,4
"130900",20,18.90290167449663,0
