"id","dams","connectedmiles","bin"
"Alabama",14348,8.412112811312463,8
"Arkansas",979,53.25183764414111,0
"Florida",5183,4.89759737658735,5
"Georgia",30115,2.5235549333788896,8
"Kentucky",1220,34.27834770445705,1
"Louisiana",431,44.468761547993175,0
"Mississippi",3784,10.557640978473229,4
"Missouri",5338,11.052899780609785,6
"North Carolina",6248,7.734020739021608,6
"Oklahoma",4901,12.96019939042385,4
"South Carolina",3383,4.765210310534167,3
"Tennessee",1853,18.114936684754365,2
"Texas",7371,15.108284105146558,7
"Virginia",2001,12.927515927162071,2
