HUC12,NumTEspp
020700050303,1
020700050705,1
020700051004,1
020700051005,1
020700060302,1
020700060303,1
020700070101,1
020700070102,1
020700070103,1
020700070105,1
020700080701,1
020700100503,1
020700100504,1
020700100602,1
020700100603,1
020700100604,1
020700100704,1
020700110202,1
020801010000,1
020801020105,1
020801030101,1
020801030102,1
020801030103,1
020801030104,1
020801030201,1
020801030202,2
020801030203,1
020801030403,1
020801030405,1
020801030601,1
020801030602,1
020801030801,1
020801030802,1
020801030804,1
020801031001,1
020801031002,1
020801031003,1
020801040101,1
020801040102,1
020801040406,1
020801040504,1
020801040602,1
020801040704,1
020801040705,1
020801050102,1
020801050103,1
020801050104,2
020801050203,1
020801050204,1
020801060103,1
020801060202,2
020801060204,1
020801060302,1
020801060303,1
020801060304,2
020801060803,1
020801061001,1
020801061002,1
020801061004,1
020801061101,1
020801070102,1
020801070104,1
020801070201,1
020801070204,1
020801080201,1
020801080202,1
020802010401,1
020802010403,1
020802010404,1
020802010405,1
020802010502,1
020802010701,1
020802010704,2
020802010801,1
020802010802,1
020802010803,1
020802010904,2
020802011101,3
020802011102,1
020802011201,3
020802011202,3
020802011203,3
020802011204,3
020802011205,3
020802011302,1
020802011401,2
020802011501,1
020802011505,1
020802020106,2
020802020501,1
020802030101,1
020802030103,1
020802030202,1
020802030203,2
020802030301,1
020802030401,1
020802030802,1
020802031101,1
020802031102,1
020802031103,1
020802031104,1
020802031203,1
020802031502,1
020802040101,1
020802040102,1
020802040105,1
020802040201,1
020802040202,1
020802040203,1
020802040301,1
020802040302,1
020802040303,1
020802040405,2
020802040501,1
020802040502,1
020802040503,1
020802040504,1
020802050401,1
020802050504,2
020802050603,1
020802060106,1
020802060201,1
020802060203,1
020802060205,1
020802060302,1
020802060701,1
020802060704,1
020802060802,1
020802060804,1
020802060904,1
020802060906,1
020802070901,1
020802070902,1
020802071002,1
020802080106,1
020802080206,1
020802080304,1
030101010103,1
030101010104,1
030101010105,1
030101010201,1
030101010202,1
030101010203,1
030101010301,1
030101010302,1
030101010401,1
030101010402,1
030101010403,1
030101010404,1
030101010405,1
030101010701,1
030101010702,1
030101010703,1
030101010801,1
030101010802,1
030101010803,1
030101010804,1
030101010902,1
030101010903,1
030101011001,1
030101011002,1
030101011103,1
030101011201,1
030101011203,1
030101011302,1
030101011303,1
030101011403,1
030101011404,1
030101011405,1
030101011406,1
030101011501,1
030101011502,1
030101011503,1
030101030102,1
030101030103,1
030101030104,1
030101030105,1
030101030106,1
030101030109,1
030101030302,1
030101030305,1
030101030306,1
030101030403,1
030101030404,1
030101030407,1
030101030408,1
030101030409,2
030101030503,1
030101030505,1
030101030601,1
030101030602,1
030101030603,1
030101030604,1
030101030605,1
030101030701,1
030101030702,1
030101030703,1
030101030801,1
030101030802,1
030101030803,1
030101030807,1
030101030901,1
030101030902,1
030101030905,1
030101070103,1
030101070603,1
030101070807,1
030101070902,1
030101070903,2
030102010103,1
030102010104,2
030102010201,1
030102010202,1
030102010203,2
030102010204,2
030102010301,2
030102010302,1
030102010303,2
030102010304,2
030102010401,1
030102010402,1
030102010403,1
030102010404,2
030102010501,1
030102010502,1
030102010503,1
030102010504,2
030102010602,1
030102010603,2
030102010703,1
030102010802,3
030102010803,1
030102010901,1
030102010902,1
030102010904,1
030102010905,1
030102011001,1
030102011006,1
030102011201,1
030102011206,1
030102020301,1
030102030202,1
030102030203,1
030102030206,1
030102030405,1
030102030504,1
030102030602,1
030102030603,1
030102030604,1
030102030605,1
030102030701,1
030102030702,1
030102030705,2
030102030706,2
030102040502,1
030102040808,1
030102040908,1
030102050101,1
030102050102,2
030102050104,2
030102050105,2
030102050106,2
030102050107,2
030102050108,2
030102050205,1
030102050206,2
030102050207,2
030102050208,2
030102050303,1
030102050304,1
030102050305,2
030102050401,1
030102050402,1
030102050403,1
030102050404,2
030102050405,2
030102050406,2
030102050502,1
030102050503,2
030102050504,2
030102050706,2
030102050707,2
030102050708,2
030102050709,2
030102050803,1
030102050804,1
030102050805,1
030102050806,1
030102050807,1
030102050808,1
030102050809,1
030102050901,1
030102050902,1
030102050903,1
030102050904,1
030102050905,2
030102050906,2
030102050907,2
030102051001,1
030102051002,1
030102051003,2
030102051107,1
030102051108,1
030102051206,1
030102051207,1
030102051303,1
030102051304,1
030102051305,1
030102051306,2
030102051401,2
030102051402,2
030102051403,2
030102051404,2
030102051405,2
030102051406,2
030102051407,2
030102051501,2
030102051502,2
