"NAME","dams","connectedmiles"
"Alabama",4914,8.412112831229358
"Arkansas",795,53.251837593065574
"Florida",1206,4.89759736999092
"Georgia",10925,2.52355493979301
"Kentucky",709,34.27834770132947
"Louisiana",227,44.46876225015174
"Mississippi",1829,10.557640953540403
"Missouri",2253,11.052899773392015
"North Carolina",3320,7.734020735706359
"Oklahoma",2905,12.96019937574899
"South Carolina",2560,4.765210308159827
"Tennessee",1266,18.11493670906737
"Texas",4194,15.108284122603047
"Virginia",1672,12.927515948378106
